location,rating,review,review_date,type_of_visit,date_of_visit,country,latitude,longitude
"Essendon, Australia",5.0,"Ancient Borobudur Temple is massive; it's the largest Buddhist place of worship in the world.  Borobudur is located in Central Java; it was built between 778 AD and 850 AD.  Regular religious worship ceased when the temple suffered from an eruption by Indonesia's turbulent Mount Merapi. I have been to Borobudur several times, getting to the top of the temple is strenuous. The bottom of the temple represents the baseless of daily life while the top respects the spiritual Enlightenment the Buddha had achieved.",2024-03-08,Family,2023-11,australia,-24.7761086,134.755
"Atlanta, GA",5.0,An amazing Buddhist temple. The architecture and the symmetry of the structure is something to see in person. The photos do not do justice.,2024-03-06,Couples,2024-02,united states,39.7837304,-100.445882
,5.0,"A magnificent piece of history that is worth witnessing. The temple grounds are vast and extremely well-kept, even in off-season when my partner and I visited. The tour guide was full of fascinating information about the history of the structure and its religious significance — I’m no Buddhist, but it was still very cool to learn about. The place is covered in intricate carvings from top to bottom, and all of the carvings are the originals, dating back to 7-800 A.D. - a number stones have been replaced, but UNESCO apparently mandated that no replacement carvings be added, to keep it as authentic as possible.Some advice — if you’re from a cooler climate like me, bring an umbrella or a hat or something. The tour is about an hour and it’s all in the sweltering direct sun — my partner and I were suffering by the end!",2024-02-16,Couples,2024-02,,,
"Vancouver, Canada",5.0,"We went to Borobudur for 8:30am start and it was a memorable visit. The sunrise tour is currently not ongoing, and there are 2 types of tickets to purchase. You can either buy a ticket for just the grounds or the climb up the temple as well. If you purchase the climb up (which I recommend), you must book into a tour which also includes a bottle of water and a pair of sandals you must wear. It is not mandatory to cover your knees or shoulders to enter the temple. Once we got to Borobudur, the tour was well organized and very efficient. We had a tour guide for a group of 10. The tour guide did a great job explaining the temple to us, the history, the restorations completed, and the significance/meaning of many things. We climbed up the temple and then had time to take photos and such before going back down. All in all, it took about an hour. It was definitely worth it to climb up and see the beauty of this temple. We definitely enjoyed it!",2024-02-02,Couples,2024-01,canada,61.0666922,-107.991707
World,5.0,"the borobudur temple is best known for its relief carvings that depict the tales of buddha and its dharma teachings.the sunrise tour appears to be halted for the moment. at present ,  there are 2 different tickets available for borobudur temple. one allows you to visit the temple ground only, while another allows you to climb the structure to the top where you can observe the 72 stupas. the latter has a timed entry and includes free slippers and an explanation by the guide. it is worth nothing that the view of stupas is actually obstructed for the most part if you remain on the ground. and the climb up the ten levels (probably equivalent to 3 normal storeys) is not difficult. so perhaps bite the bullet and buy the (more) expensive ticket? one area the park could improve upon is to streamline the path towards exit. it is unnecessarily long winded right now and is a drag even for someone with no mobility issues.",2024-01-24,Family,2024-01,world,-36.8535712,174.7456809
,5.0,Exhilarating experience at borobudar. Extremely well organized temple admin and have done a great job in preserving. Limited capacity per hour and they give slippers to reduce impact on the temple floor.  Early morning is best as it gets really hot by mid morning.,2024-01-14,Couples,2024-01,,,
"Sydney, Australia",4.0,"The Borobudur Temple Complex is incredibly impressive, allowing visitors to experience the largest buddhist temple in the world and its incredible architecture. While the entrance price for foreigners is definitely excessive, Borobudur has introduced a slot system for visitors, leading to well-managed numbers of people in the temple at all times. Despite the warnings of mass crowds, we had the top level to ourselves after 20 minutes!",2024-01-09,Family,2024-01,australia,-24.7761086,134.755
"Toronto, Canada",5.0,"Incredible temple! FYI - best for foreigners to buy ticket online ahead of time. We waited to buy the combined ticket with Prambanan in person, but were told the combined ticket doesn’t allow you to go on Borobudur temple structure. We got there at 930am and first were told there were no more entrance times until 1230pm. Luckily another worker was able to fit us in on the 930 tour. So, best to book online in advance to avoid this confusion! Temple is absolutely worthwhile and doesn’t feel busy at all since they limit the number of tourists that go up at once.",2024-01-05,Family,2024-01,canada,61.0666922,-107.991707
"Bengaluru, India",4.0,"While the Stupa itself is a gigantic structure, what impressedme was its structural design.There are nine levels of the monument built in the shape of the Sri Chakra or Meru which is an integral part of the Hindu religious system. Said to have been built by the Sailendra dynasty, the monument is an UNESCO heritage site. On an average more than 300,000 travelers visit the site in a year. The Indonesian authorities provide special foot wear to the visitors in order to ensure that undue pressure is not exerted on the stone structures, as a method of preservation. 72 statues of Buddha are encased in perforated stupas. The Tourism department provides a guide as part of the entrance fee. It ranks as the biggest Buddhist temple in the world. Suffice it to say it is an architectural masterpiece with its relief panels which depict stories from Jataka tales relating to Buddhism.",2024-01-01,Family,2023-11,india,22.3511148,78.6677428
"Tenerife, Spain",1.0,"Watching the mistreatment and starvation of the  animals they keep there, ruined the visit to the beautifull Temple. It was awfull.",2023-12-29,Family,2023-12,spain,39.3260685,-4.8379791
"Singapore, Singapore",5.0,"Lovely experience. The temple is obviously stunning, but I was also very impressed with the way the entry and tour were organised. The temple management team has done an excellent job on making this an enjoyable experience.",2023-12-20,Couples,2023-11,singapore,1.357107,103.8194992
"Singapore, Singapore",4.0,We went as soon as it opened so it wasn't crowded. The temple is absolutely breathtaking and very well maintained. Ticket prices are much higher for tourists compared to locals but I guess that is to be expected.,2023-12-17,Family,2023-12,singapore,1.357107,103.8194992
"Tawau, Malaysia",5.0,"Started our Borubudur tour with watching sunrise at Punthuk Sethumbu. Then after spending sometime at viewing point, we headed to Borubudur temple and start our breathtaking and informative tour! We learned a lot about history of Buddha and the stories behind the carving at each levels of the temple.",2023-12-10,Friends,2023-12,malaysia,4.5693754,102.2656823
"Glen Iris, Australia",5.0,"Was number one on our list of things to see on a weekend away from Jakarta in Yogjakarta, and it didn't disappoint.  We booked ahead for a slot 9-10am Sunday morning (arrived 8:30am and switched shoes to provided sandels to protect stones).  Tour took 60 mins. Guide spoke good English and was very informative about Budda as depicted in the carvings as well as the history of the construction, burial, rediscovery and restoration of the temple.  Highlight was 20 mins on levels 7 and 8, which provides spectacular photo opportunities.  Only disappointing but was that my English-speaking Indonesian travel companion was unable to join the ""foreigners"" group, so we had to have separate experiences.",2023-12-10,Friends,2023-12,australia,-24.7761086,134.755
"Singapore, Singapore",5.0,Borobudur Temple is a must visit when you are in Yogyakarta. You can purchase the tickets from the official site prior to your visit. Do purchase the tickets with the temple structure so that you can go up and see the stupas. The visit up includes a guide who will share the cultural and history behind the temple and the carvings/structures. There are a few slots a day for these tours so do remember to check them out so you can plan your visit around the slots. Do bring an umbrella if you can as it gets pretty hot in the late morning.,2023-12-09,Friends,2023-12,singapore,1.357107,103.8194992
"Singapore, Singapore",5.0,"The view was simply breathtaking and I was filled with awe. The carvings are so intricate and beautiful! No regrets visiting Borobudur as it's a UNESCO World Heritage Site. The climb up to the highest level was bearable and if you have older folks with you, just be careful and climb up slowly. The stupas were beautiful and I am so so glad that we made a trip to Borobudur. Grateful!",2023-12-08,Family,2023-12,singapore,1.357107,103.8194992
"Singapore, Singapore",5.0,Unite spectacular historical monument. Make sure you book the Temple Structure tour otherwise you cannot go up the stairs. The site is in pretty good shape and the detail work in the stone is interesting and complex.,2023-12-03,Couples,2023-12,singapore,1.357107,103.8194992
"Mesa, AZ",5.0,"The Borobudur Buddhist Temple was built around the 9th century and it is considered to be the largest Buddhist temple in the world.   There are two other ancient Buddhists temples located in line with Borobudur:  Mendut &  Pawon Temple.   These three nearby Buddhist Temples (Borobudur, Mendut & Pawon) make up what is known as the Borobudur Temple Complex, since they are all located in close proximity to each other.   Because of its historical significance, the Borobudur Temple Complex has been designated as a UNESCO World Heritage site.The three temples of the Borobudur Temple Complex can easily be visited in single day with just a short distance between them, and it is well worth the visit to see all three temples because they are all so different in architecture and they are very interesting to visit.  The Borobudur Temple structure is large in size and the grounds that surrounds the Temple structure is also very large and immaculately maintained.  The Borobudur Temple and park-like grounds is definitely a must-see place to visit when traveling to Indonesia.  As can be seen on the attached photos, the Borobudur Temple has a lot to offer.",2023-12-02,Couples,2023-04,united states,39.7837304,-100.445882
"La Jolla, CA",4.0,"Borobudur is the main attraction in central Java and is the largest Buddhist temple site in the world. It is well-preserved and maintained, with designations where there has been restoration. It was very warm when we visited (approx. 100 degrees F), so water, hat and sunscreen are essential. There are hundreds of carved Buddha images and panels depicting Buddha’s life, as well as the life of the people. Definitely worth seeing when on Java. Having been to Siem Reap to see Angkor Wat and the other Hindu temples, I would say that Borobudur is on par, though very different.",2023-11-23,Couples,2023-11,united states,39.7837304,-100.445882
"London, UK",4.0,"This ancient Buddhist temple site is well maintained and is a World Heritage site. It has beautiful carvings in stone on the walls of 7 of the 10 levels telling the story of Gautama Buddha from his birth to reincarnation. You have to be fit to climb right to the 9th level as the stone steps are steep and uneven, and visitors are now asked to change to the bamboo slippers provided to preserve the ancient temple site. The timing of the visits are now restricted and there are no longer sunrise visits as the first tour starts at 0900h. In addition guides are required and very useful to point out and highlight the different carvings. Definitely worth a visit.",2023-11-18,Couples,2023-11,united kingdom,54.7023545,-3.2765753
"Barcelona, Spain",5.0,"The Borobudur temple is simply spectacular. It is the largest Buddhist monument in the world. The temple is surrounded by beautiful gardens. To go up the temple, you need to go with a guide. You ascend in a circular path, and when you reach the top, the views and the stupas are incredible. If possible, go in the late afternoon to enjoy the sunset.A couple of tips: it's advisable to buy your tickets in advance as the number of visitors is limited. Also, keep in mind that the temple is closed on Mondays. You can buy tickets, but you won't be able to climb the temple, which is the highlight of the visit. You'll only be able to stay in the gardens.",2023-11-03,Couples,2023-08,spain,39.3260685,-4.8379791
"Thiruvananthapuram (Trivandrum), India",5.0,It is a must see location. In the past they let us spend as much time as we liked up the temple. But now it is limited to one hour. The visit times have to be booked in advance online. Reach the spot at the right time only as there is nothing to when you wait.Take the last slot if available as it would let you see the sunset. The park is worth walking around.,2023-10-29,Family,2023-10,india,22.3511148,78.6677428
"Artemida, Greece",5.0,"An amazing Buddhist Temple, the world's largest of its kind! Worth every penny for this masterpiece! The only sad thing is that you cannot take a photo Which represents all its beauty!",2023-10-20,Couples,2023-10,greece,43.2097838,-77.6930602
,5.0,"It's like stepping into a world where history and spirituality collide. The sheer size and intricate details of the temple are mind-blowing. Climbing to the top to watch the sunrise over the misty Java landscape was a surreal experience, but what struck me the most was the sense of tranquility and reverence that pervades the entire place. It's not just a tourist attraction; it's a profound spiritual journey that leaves you with a deep appreciation for the artistry and culture of Indonesia. Visiting Borobudur was a life-changing experience that I'd recommend to anyone looking for a moment of profound beauty and reflection.",2023-10-18,Family,2022-12,,,
"Sydney, Australia",5.0,"This was my 3rd or 4th visit to Borobudur temple. My last visit was probably 15 years ago, and the place still charmed me. A lot of change as well to the way government now organise this UNESCO heritage. It's much better and organized, ticket, tour guide and because of it's heritage, the number of tourist is limited. I would not review the Borobudur itself, but more on how to get the ticket and what to expect :1. You need to buy the ticket online, ensure you get the right ticket, there are two types of ticket. You just need to get one ticket, depending on what you want to doa) temple ground ticket, you can only go around the ground of temple and would not be able to go in to the actual temple, be careful if you buy this ticket from third party provider and you get cheaper price, sometimes they didn't mention it properly and you ended up need to buy the ticket to go inside the temple. I didn't check the price for this ticket. You can pay cash or card for this ticket (cash on the spot if you not doing any booking). I think there is no limitation on the numbers of visitors for this ticket. b) temple structure ticket, you can get into the temple. Foreigner price is IDR 455K, and for domestic is 120K. You can see the price in their website. You can only pay with card for this type of ticket. There will 150 visitors limit per hour for this ticket, just be mindful if you go on weekend or peak season. With this ticket you will get the special footwear, tour guide (for 60 minutes or so) and 2 small mineral water. 2. You need to obey the regulation, including wearing the provided footwear, wearing proper outfit, no smoking in the temple, no food and drink in the temple and the absolute one, do not touch or climb up the statue.3. Wear hat and sunscreen, it could be very hot especially during the day, and the stone that use to build the temple is from lava stone and reflects the sun, so it could be really hot.4. There is Borobudur museum on the way out, it provided some information on the history, but it's a bit rundown and quiet small, its free entrance.5. As mentioned by others, there are plenty sellers outside of the temple, just be polite and keep walking if you don't want to buy anything from them.",2023-10-11,Couples,2023-10,australia,-24.7761086,134.755
"Colombo, Sri Lanka",5.0,"This was a place that I so wanted to see - so, it was thrilling to finally come see it.  Be warned that you need to now book your ticket in advance on line - and only limited places are available.  I did not know this - and was lucky to have a ticket available on line for the 1.30pm tour.  The whole thing was organised very very well - and well curated.  The guide was excellent - and gave a wonderful explanation and overall insight to the history and the architecture.   A must see if you are in Semarang/Jakarta...",2023-10-03,Solo,2023-10,sri lanka,7.5554942,80.7137847
,5.0,"Definitely worth a visit. However do take note of the following:1. Ask your hotel for the QR code or website to buy the tickets in advance. The temple have time slots to limit the number of visitors per day.We booked a day tour with a guide to bring us around. You can get there on your own transport or join a tour.2. Bring an umbrella or hat as it can get very hot in the day.3. At the temple, you will be given sandals to change to which are included in the ticket. It is not an option therefore it does not matter what shoes you wear to the temple.4. The tour guide from the temple is included with the ticket.5. Last, to exit the temple is a never ending maze of souvenir shops. There is a long walk back to the carpark area.Enjoy your tour!!",2023-09-30,Couples,2023-09,,,
,5.0,Imam Fabrian was our driver . He was excellent and on time. He was friendly and waited for us after having late lunch.great,2023-09-19,Couples,2023-09,,,
"Singapore, Singapore",5.0,No visit to Jogjakarta is complete without a mandatory trip to the wonder of the orient - the Borobudur temple. It’s an awesome sight of wonder from which the more popular Angkor Wat was based on. We left the Borobudur temple complex feeling a sense of calm and balance.,2023-09-09,Couples,2023-09,singapore,1.357107,103.8194992
,1.0,"The place itself is special, the surroundings are incredible, but the price is unreasonably high, and there are many prohitions limiting how you spend the visit. Stepping up to the top is overrated. The entrance fee plus the transport payment and the time needed to get there from Yogja and go back make this tour really expensive for a 1'5h visit.",2023-09-08,Couples,2023-09,,,
"Singapore, Singapore",5.0,Everyone must visit to this architectural wonder! Huge monument with carving all over depicting many stories from Jatak katha and Buddha's lifetime.,2023-09-04,Family,2023-09,singapore,1.357107,103.8194992
,4.0,"Beautiful site housing very impressive Temples & site complex, one of the wonders of 8th & 9th centuries.",2023-08-29,Family,2023-08,,,
"Klang, Malaysia",5.0,"A must-visit place . But there are new rules implemented from March 2023. There are 2 types of entrance tickets available now. All tickets are to be purchased online prior to your visit as you need to choose a time slot. If it's full then you will miss the visit. 1st is cheaper, you can go around the temple to take pictures ONLY. You can't go up the temple. 2nd ticket is almost double the price, which will cost you almost 500k Rupiah/pax depending on the website. This allows you to go up the temple. This needs to be bought prior to and following the time. They limit the visitors going up the temple to preserve the heritage.",2023-08-28,Friends,2023-08,malaysia,4.5693754,102.2656823
"Port St. Mary, UK",5.0,"Highly recommend using a tour guide and allowing them to sort out the tickets for entry and for the top entry, as otherwise you can be left scratching your head, or worse, miss out on going to the top.Going to Borobudur early is a must, as your pictures and videos will have little to no people in them, and it was great to walk around the outside while it was quiet, and until we waited our turn in the group to go to the top.The top of the temple is the best bit, so definitely do this if you can. Scenery is fantastic, and some of the architecture, and the stories behind the Buddha statues etc, is really interesting.Overall a really cool experience and one which you really need to include in your Yogyakarta itinerary.",2023-08-17,Couples,2023-08,united kingdom,54.7023545,-3.2765753
"Leighton Buzzard, UK",4.0,"This in an interesting temple to visit. Visits are limited, so tickets are required to enter on a timed basis. The tour is lead by a well informed guide who shares information about the history of the site and the intricate carvings that can be seen on the walls of the buildings.",2023-08-14,,2023-07,united kingdom,54.7023545,-3.2765753
"Lynnwood, WA",4.0,"Magnificent temple. We reserved the time slot for temple access and guided tour online. Price for foreigner Rp 455K, which is quite expensive. Yes, it's expensive but that's about the same price for observation deck in NYC. So no hard feeling on this. Temple preservation is costly.The process to get in was a little confusing. We already had tickets, needed to get the wristband. It was quite confusing to find the person who gave us the wristband. She was busy helping someone. In the meantime a few employees standing doing nothing but greeting customers. Once getting the wristband, we were given number for the group tour then getting our special sandals. The sandals were not comfortable, made the climbing up or down more difficult. But it was needed for temple protection :). In short, go visit the temple for once in life time experience.",2023-08-12,Family,2023-07,united states,39.7837304,-100.445882
"Philadelphia, PA",4.0,"I want to rave I really do.  This history of how this was discovered and restored is maybe the most exciting.  The site is great, it just disappointed in size and scale and interested compared to Prambanan.  Please make sure to buy tickets online before going as they run out as the day goes on.",2023-08-10,,2023-07,united states,39.7837304,-100.445882
"Koh Ta Kiev, Cambodia",3.0,"One of the most overrated places I’ve been in. With the horrendous ticket price… And it’s not the biggest Buddhists temple, that’s a lies. Angkor Wat is bigger and what’s more, much much more beautiful have have so many temples you may visits. You can go the the top only with the guide and on top you have around 10min free time for photos. It’s a complex of 4 temples and they are really nice photos. you are forced to park outside of the temple complex in some private places for a minimum of 450k fee. To be honest, we just parked somewhere on the street next to some closed shop for free.",2023-08-09,Friends,2023-06,cambodia,12.5433216,104.8144914
"Gunung Kidul, Indonesia",5.0,The biggest budhi's temple in the worldVery beautiful templeHave story long time year I am wait next trip with another people,2023-08-06,Business,2023-08,indonesia,-2.4833826,117.8902853
"Madrid, Spain",5.0,Beautiful Buddhist temple surrounded by nature. Guided tour totally recommended so you can go to the upper part of the temple. Consider 1.30 hours from Yogyakarta by car to reach it. Sunset is wonderful and not very crowded.,2023-08-05,Couples,2023-07,spain,39.3260685,-4.8379791
Jakarta,5.0,"If you visit Indonesia, you must visit Candi Borobudur / Borobudur Temple, it's one of the worlds wonder. Now it's more tidy and well-organized to visit Borobudur Temple area after all the covid-19 period. You can purchase entrance ticket by online and it has a clear instructions on how to visit Borobudur Templer. Beautiful temple with it's man made magic and Buddha's blessing. Prepare your strength especially your leg, as you will be going all the way up with uneven narrow steep stairs, but once you are up there it's worth it.  On your way out of the temple area prepare to go around a maze of souvenir shop.",2023-08-05,,2023-06,indonesia,-2.4833826,117.8902853
"Stockholm, Sweden",2.0,"Well, the low review is not of tge beautiful temple it self, but what goes around it.The temple it self is still a grand place to visit while in Jogja. It's the fourth time over the years and still love it.But, what make the whole experience worse is how they organised how to get as many rupiah outa of you as possible. They're like a mafia. You have to pay ca 45K for the entrance, and that's only if you wanna walk around the temple or around.. if you want to go up and se every level of the temple, then you have to pay 20K more.Well, we had the money and although the hefty price, we payed.Then the circus started. Probably a relic of the pandemic, but the ""clever"" staff uses this smart. So many of the staff are just running around like headless chokes. My friend speaks bahasa and our driver was english speaking and non understood what to do. ""Take a number from that mba, bring the number to that mba... you see that mas, sit overther 10 minutes, then wait over there""... and there were only 6 custemers and 13 staff.. And then this.... They have them called sessions where only 150 persons allowed in every hour. In reality the number is higher. Although the poster infront says 150 persons. Then they don't give you sarung to wear anymore but tell you to put local produced flip-flops so the temple would not sink as it has over the years. How do local produced flip-flops help with that?! Then you have to follow a guide and you have only one hour and then you have to exit the temple.What!!!! Our guide would not shut up the first 15 minutes, then told us that we gonna skip level one and go to level two directly.At that moment we left the group and did the rest by our selfs. We actually saw other groups sitting bored and listening to their guides that they didn't even want.But, great way to create local jobs and collect money.Met several foreigners in Jogja that told us they are skiping Borubudur because of the price. Shame, beautiful place.",2023-07-29,Friends,2023-07,sweden,59.6749712,14.5208584
"Singapore, Singapore",4.0,"This is main highlight of our trip.when on 25 jul, booked a 6 seater Innova from Malyabhara Hotel for 790k for 4hrs to Borobudur (took about 80mins from hotel).When we reached there at around 10am, were told that all slots to go up for that morning all fully booked, only left late evening slots. having no choice, we had to book for next day 26 jul slots and go back on 26 jul. There were not much info about that, so time n $$ wasted. Or maybe we did not research much.(our fault)To book for slots to go up:WhatsApp to +62 811-2654-0761. Date of visit2. what time/slots u want3. No. of person4. Your Namewait for their reply, they will reply to let u know whether the time slots you wanted is confirm?If your slot is confirm, on that actual day, reach there about 30mins before to get queue number to make payment.Hope this info is useful for those wanted to go up.Pray to Buddha: Wishing all Healthy n Happy!",2023-07-28,Family,2023-07,singapore,1.357107,103.8194992
